Edad,Genero,NivelEducativo,RamaPrincipal,AñosExperiencia,AñosExperienciaPro,HaTrabajadoCon,PuntajesTecnologias,HabilidadesComputacionales,SalarioAnterior,Puntaje,Contratacion
43,Hombre,Técnico,Desarrollo,9,9,Python,1,2.5,1386849.5999999999,1.5855202260943193,0
29,No Binario,Universitario,Desarrollo,6,6,C++|Node.js|Java,19,5.4,2112758.6999999997,2.3276343698118778,1
27,Mujer,Universitario,Desarrollo,8,8,Angular,1,2.7,1294771.8,1.4692109366295616,0
35,Hombre,Técnico,Ciberseguridad,7,7,React,6,2.8,1429358.4000000001,1.5922360507332827,0
32,Hombre,Magister,Infraestructura,8,4,Python|Node.js|JavaScript|C++,15,4.6,3283509.6,3.0069427773914805,1
31,Hombre,Técnico,Soporte,6,3,Kubernetes|React,19,4.0,1795996.8000000003,2.133533913691083,1
37,Hombre,Universitario,Desarrollo,10,0,Kubernetes,9,2.4,1752750.0,2.0105244927473107,1
23,Mujer,Universitario,Ciberseguridad,5,5,Node.js|Angular,12,3.9,1571325.0,1.9115216967390227,1
27,Hombre,Técnico,Soporte,7,0,C++|Docker|React|SQL,28,4.7,2152008.0,2.41415901457979,1
32,Mujer,Universitario,Soporte,11,7,Java,9,3.8,1906690.65,1.3958763284390188,0
34,Hombre,Técnico,Soporte,7,3,AWS|SQL|Java|C++,19,4.0,1865073.6,1.7541351998887806,1
31,No Binario,Universitario,Soporte,8,8,JavaScript|Node.js|R,15,5.1,2174713.8,1.8362963059830029,1
41,Mujer,Universitario,Soporte,10,9,AWS,9,4.3,2006806.4999999995,1.904044329841577,1
35,Hombre,Universitario,Desarrollo,9,4,React|SQL|Python,13,3.9,2479065.0,2.424394106271086,1
37,Hombre,Técnico,Infraestructura,12,9,Kubernetes|JavaScript|R|Angular,11,3.8,2160076.8,1.8389493047818948,1
30,Hombre,Técnico,Desarrollo,11,6,Angular|React|AWS,15,3.9,2116977.6,2.375461304282426,1
38,Hombre,Técnico,Desarrollo,8,0,Node.js|JavaScript,11,2.3,1294944.0,1.5141015971586769,0
32,Hombre,Técnico,Desarrollo,6,2,Angular,7,2.1,1120579.2,1.031124537921269,0
35,Hombre,Universitario,Desarrollo,13,3,SQL|JavaScript,11,3.3,2496285.0,2.0361921441747515,1
34,Hombre,Magister,Desarrollo,14,6,JavaScript|R,8,3.7,3352291.2,2.7915848291361276,1
40,Hombre,Universitario,Desarrollo,14,4,Docker|Angular|AWS,18,4.8,3429240.000000001,3.4626187628911893,1
28,Hombre,Universitario,Desarrollo,8,3,AWS|Node.js,8,2.8,1859760.0000000002,2.057212128473922,1
23,Hombre,Doctorado,Soporte,5,5,Angular|SQL,6,3.3,2751100.0,1.7311627159166323,0
33,Hombre,Universitario,Desarrollo,12,9,React,6,3.7,2637119.9999999995,2.2383925174467523,1
37,Hombre,Magister,Soporte,15,3,Kubernetes|C++,5,2.5,2513259.0,1.7821267798901592,1
32,Mujer,Universitario,Desarrollo,12,2,Docker|R,12,3.3,1752700.8,1.6422630624965575,0
41,Hombre,Técnico,Soporte,14,11,Angular|Kubernetes|C++,22,5.7,3191702.400000001,2.7726118608581842,1
37,Hombre,Técnico,Soporte,14,14,Python|C++|Node.js,10,4.5,2629641.6000000006,2.1407625014779312,1
32,Hombre,Universitario,Ciberseguridad,9,2,R|SQL|JavaScript,17,4.2,2621745.0,2.6443467955262205,1
23,Hombre,Técnico,Ciberseguridad,5,5,React|AWS,5,2.3,1156200.0,1.3179729731805991,0
33,Hombre,Técnico,Desarrollo,8,5,Angular|Docker,14,3.6,1790880.0,2.0047353100565193,1
40,Hombre,Universitario,Análisis de Datos,13,8,Angular|Docker|Java|SQL,17,5.4,3713985.0,3.0216121843956643,1
33,Hombre,Universitario,Soporte,10,2,C++|Kubernetes,10,3.0,2066400.0000000002,1.8736318587811085,1
32,Mujer,Universitario,Soporte,10,0,Node.js|React|R,20,4.3,2020275.0,2.1307265564107207,1
32,No Binario,Técnico,Ciberseguridad,11,1,AWS|C++|Java|Kubernetes,33,5.6,2079823.7280000001,3.140861590739675,1
26,Mujer,Técnico,Desarrollo,8,3,JavaScript|Python|Node.js|Java,23,4.5,1572833.4719999998,2.1173733958573417,1
38,Hombre,Universitario,Soporte,12,5,Angular|R,6,2.9,2164800.0,1.5129955402345698,0
43,Hombre,Doctorado,Desarrollo,14,9,R,7,4.5,4808742.400000001,2.966555355084656,1
31,Mujer,Universitario,Infraestructura,8,2,React|Docker|Kubernetes|SQL,14,3.7,1659319.1999999997,1.9761812791730617,1
29,Hombre,Magister,Desarrollo,11,3,Angular,3,2.1,1974371.4,1.8545542011374736,1
34,Hombre,Universitario,Soporte,7,7,Angular,2,2.6,1693710.0,1.3892964828512737,0
23,Hombre,Universitario,Desarrollo,5,5,Angular|AWS|JavaScript,13,4.1,2229375.0,2.7180769849323023,1
36,Hombre,Técnico,Desarrollo,9,7,R|Java|Docker,11,3.5,1820596.8,1.761355076908299,1
34,Mujer,Universitario,Infraestructura,8,8,Node.js,8,3.9,1734742.8,1.6236019627263256,0
43,Hombre,Universitario,Soporte,13,3,Kubernetes|Java|Node.js,22,5.3,3612510.0,3.0187955127647004,1
31,Mujer,Universitario,Ciberseguridad,7,5,Angular,2,2.2,1090948.5,1.2531053677247765,0
37,Hombre,Universitario,Desarrollo,13,4,Angular|Kubernetes|React,18,4.8,3328380.0000000005,3.2549521948873945,1
30,Hombre,Universitario,Desarrollo,10,5,Java|AWS,13,4.1,2675250.0,2.530915517380581,1
33,Hombre,Técnico,Soporte,6,6,Kubernetes|Node.js,8,2.9,1417353.6,1.4426367590269331,0
27,Hombre,Universitario,Análisis de Datos,7,7,React,3,2.8,1776735.0,1.8459824442164157,1
29,No Binario,Técnico,Soporte,11,0,Docker|Python|JavaScript,15,2.9,1224735.6,1.289782250497606,0
30,Mujer,Universitario,Infraestructura,6,6,SQL|C++|Python,13,4.3,1762577.7,1.4699448527319232,0
33,Mujer,Técnico,Soporte,10,4,React|JavaScript,6,2.3,1004211.36,1.0792831522942046,0
28,Mujer,Técnico,Infraestructura,8,7,Node.js,9,3.2,1202755.008,1.2473931008264352,0
35,Hombre,Universitario,Infraestructura,9,4,JavaScript|Kubernetes|Java|React,21,5.3,3192465.0,3.6593102928977665,1
30,Mujer,Universitario,Infraestructura,7,5,Kubernetes|Java|SQL|Node.js,27,6.5,2606154.75,2.882741311772273,1
33,Hombre,Universitario,Infraestructura,10,10,C++|Kubernetes|Node.js|SQL,21,6.5,3966750.0,3.405209114984999,1
35,Hombre,Técnico,Soporte,7,7,Angular|Node.js|AWS|Docker,25,5.5,2438942.4,2.8153629974387226,1
35,Hombre,Universitario,Infraestructura,12,11,JavaScript|C++|Angular|Node.js,23,7.1,4546080.0,3.8678488764466303,1
38,Hombre,Técnico,Desarrollo,14,5,Python|React|Kubernetes,24,5.0,2843760.0000000005,3.767588139129282,1
34,Hombre,Magister,Desarrollo,12,5,React|C++,15,4.8,3908448.0,3.1021230636334653,1
33,Hombre,Magister,Desarrollo,14,6,JavaScript,5,3.1,2938273.2000000007,2.4439087818373846,1
31,Mujer,Universitario,Infraestructura,11,0,C++,4,1.5,974221.5,0.9369690771343968,0
31,Hombre,Técnico,Desarrollo,10,0,Python,10,2.2,1328400.0,1.5336640460441489,0
33,Hombre,Universitario,Desarrollo,7,2,JavaScript|Kubernetes|C++,14,3.7,2191859.9999999995,2.57723350268063,1
45,Hombre,Técnico,Ciberseguridad,10,10,Angular|Docker|C++,19,5.1,2568240.0,2.880948069227881,1
30,Hombre,Universitario,Ciberseguridad,8,8,Node.js|React,9,4.0,2462460.0000000005,2.6056025099727127,1
30,Mujer,Técnico,Soporte,9,0,C++|Docker|R|Node.js,22,3.9,1437358.32,1.4840151272224198,0
33,Hombre,Magister,Infraestructura,12,11,JavaScript,10,5.2,4194201.6,3.356399574177282,1
28,No Binario,Técnico,Soporte,9,3,AWS|R|Angular|Docker,19,4.0,1462355.8560000001,1.4631446076098196,0
30,Mujer,Universitario,Soporte,10,0,Angular,3,1.3,875452.5,0.5525274167439129,0
36,Hombre,Universitario,Soporte,11,10,Python,1,3.1,2192475.0,1.8260656155485506,1
26,Hombre,Universitario,Ciberseguridad,4,3,Node.js|AWS|JavaScript|C++,11,3.3,1815480.0,2.0084053266057498,1
37,Mujer,Técnico,Desarrollo,10,10,C++|Kubernetes,10,3.9,1486922.4000000001,1.6706574382147017,0
35,Mujer,Doctorado,Análisis de Datos,12,3,Java|R|Node.js|SQL,21,5.9,4163574.272000001,2.9821093888655414,1
25,Mujer,Universitario,Desarrollo,7,4,C++|JavaScript|Docker|Kubernetes,8,3.0,1381868.1,1.733303855443988,0
20,Mujer,Universitario,Desarrollo,2,2,Python,7,2.4,958059.3000000002,1.0286813091255527,0
30,Hombre,Técnico,Infraestructura,10,6,JavaScript,2,2.1,1281168.0,1.1134182284214005,0
33,Hombre,Universitario,Desarrollo,11,9,Java|R,10,4.4,2936009.9999999995,2.4966228287814705,1
47,Hombre,Universitario,Análisis de Datos,15,0,Docker|C++|R|Python,16,3.6,2798250.0,2.796971373918545,1
34,Mujer,Técnico,Infraestructura,9,8,R|Python,12,3.8,1420693.296,1.6490576278859594,0
25,Hombre,Técnico,Infraestructura,6,4,SQL|Docker|Node.js|R,28,5.4,2317910.4,2.717698156062146,1
31,Hombre,Universitario,Ciberseguridad,6,2,Java|C++|SQL|Angular,19,4.5,2510429.9999999995,2.4720309309270627,1
34,Hombre,Técnico,Infraestructura,7,0,React,7,1.8,1036152.0,1.0926825786123844,0
36,Hombre,Técnico,Desarrollo,12,9,Node.js,6,3.1,1845196.7999999998,1.7960111132916492,1
28,Hombre,Universitario,Ciberseguridad,10,7,Python|Node.js|React,16,5.1,3173400.0,3.4896074495408675,1
31,Mujer,Universitario,Soporte,6,3,Kubernetes|Node.js|Java|Python,21,5.1,2019377.0999999999,2.286265502157613,1
31,Hombre,Técnico,Infraestructura,9,9,Java,5,3.0,1615137.6,1.4850829942840504,0
26,Mujer,Universitario,Soporte,8,8,React,1,2.7,1294771.8,1.0286577022459913,0
36,Hombre,Técnico,Desarrollo,7,7,Angular,7,3.0,1482494.4000000001,1.4788141803578532,0
38,Hombre,Técnico,Desarrollo,12,12,R|JavaScript,11,4.3,2386790.4,1.9497001741422813,1
36,Mujer,Técnico,Desarrollo,7,6,React|Node.js,2,2.1,841727.3759999999,1.0578622945358038,0
34,Mujer,Universitario,Desarrollo,13,13,React,8,4.9,2488978.8000000003,2.391221827580515,1
32,Hombre,Técnico,Soporte,9,9,R,9,3.6,1843425.5999999996,1.3328329176807414,0
35,Mujer,Técnico,Soporte,7,7,SQL|C++|AWS,16,4.2,1431324.4319999998,1.3708706911751194,0
36,Hombre,Universitario,Desarrollo,7,0,SQL|R,7,2.0,1411425.0,1.3076717771359412,0
35,Hombre,Universitario,Infraestructura,11,6,Angular|Node.js,8,3.5,2402190.0,2.0652587209253186,1
31,Hombre,Técnico,Soporte,11,6,Docker|AWS|JavaScript,15,3.9,2116977.6,2.119726481743901,1
32,Hombre,Universitario,Desarrollo,10,6,Docker,1,2.2,1678949.9999999998,1.4637297967641272,0
35,Hombre,Técnico,Desarrollo,13,5,JavaScript,8,2.8,1721016.0,1.6870942431018863,0
47,Hombre,Universitario,Análisis de Datos,17,8,Kubernetes|SQL,11,4.4,3481515.0,3.344881942308036,1
36,Hombre,Universitario,Ciberseguridad,11,9,AWS|JavaScript,18,5.8,3698610.0,4.432297423314143,1
31,Hombre,Universitario,Análisis de Datos,6,0,AWS|SQL,11,2.7,1678950.0,1.8585271061185373,1
30,Hombre,Técnico,Desarrollo,10,10,Docker|Kubernetes,12,4.1,2154960.0000000005,2.679180727442507,1
29,Mujer,Técnico,Soporte,7,0,React|Angular|Kubernetes,17,3.2,1144283.7600000002,1.23366851437402,0
45,Hombre,Técnico,Desarrollo,11,4,Angular,7,2.5,1482494.4000000001,1.4073220028523228,0
33,Hombre,Técnico,Desarrollo,7,2,Angular|JavaScript|Java,16,3.4,1641902.4,1.6888972326875196,0
36,Mujer,Técnico,Infraestructura,11,3,JavaScript|Node.js|Kubernetes,15,3.4,1385064.624,1.557388158265359,0
33,Hombre,Universitario,Desarrollo,11,10,SQL|Node.js,5,3.8,2573775.0,2.290693688262525,1
36,Hombre,Doctorado,Desarrollo,14,6,Node.js|AWS,15,5.4,5618377.6000000015,4.230945300086463,1
38,Hombre,Doctorado,Desarrollo,18,8,Angular|Node.js,13,5.5,6361625.6000000015,3.7878111840870408,1
32,Hombre,Magister,Desarrollo,12,8,Kubernetes|Docker|SQL,14,5.3,4246156.800000001,4.268794005046919,1
28,Mujer,Universitario,Soporte,10,0,JavaScript,5,1.7,1010137.5,0.9156796807352637,0
40,Mujer,Universitario,Infraestructura,13,3,SQL|Python|Angular|AWS,22,5.3,2637132.3,2.560665223904193,1
39,Hombre,Técnico,Desarrollo,8,8,Angular|SQL,14,4.1,1989254.4000000001,1.9211812797033996,1
35,Mujer,Universitario,Desarrollo,13,8,Node.js|Docker,12,4.6,2340825.3,2.454903484659585,1
